image_path centroid_x centroid_y angle
MIA_L0001/frame00421.bmp 43.2375 70.7445 -8.3576
MIA_L0001/frame00422.bmp 43.3272 70.9329 -9.1203
MIA_L0001/frame00423.bmp 44.1670 70.7184 -4.1621
MIA_L0001/frame00424.bmp 43.8192 70.9000 -7.8250
MIA_L0001/frame00425.bmp 44.7873 70.3497 -8.7792
MIA_L0001/frame00426.bmp 46.7971 70.1146 -0.0694
MIA_L0001/frame00427.bmp 43.9363 70.5966 -4.3509
MIA_L0001/frame00428.bmp 43.7014 70.7198 -9.8058
MIA_L0001/frame00429.bmp 45.8176 70.6205 -4.5671
MIA_L0001/frame00430.bmp 44.3291 70.5042 -8.7621
MIA_L0001/frame00431.bmp 45.7468 70.5386 -9.4294
MIA_L0001/frame00432.bmp 45.3049 70.6497 -10.9226
MIA_L0001/frame00433.bmp 44.1018 70.7882 -7.3681
MIA_L0001/frame00437.bmp 61.2315 65.6984 -24.1466
MIA_L0001/frame00438.bmp 59.9257 66.0000 -26.9223
MIA_L0001/frame00439.bmp 60.9115 66.5123 -17.0773
MIA_L0001/frame00440.bmp 59.4090 67.0517 -16.7738
MIA_L0001/frame00441.bmp 59.8499 66.5012 -18.6224
MIA_L0001/frame00442.bmp 60.4374 66.5732 -21.4960
MIA_L0001/frame00443.bmp 61.0140 66.3707 -20.4738
MIA_L0001/frame00444.bmp 59.2735 67.0856 -16.5672
MIA_L0001/frame00445.bmp 60.7588 66.5471 -20.3898
MIA_L0001/frame00446.bmp 59.5522 66.5261 -12.5958
MIA_L0001/frame00447.bmp 60.1805 66.8337 -16.6783
MIA_L0001/frame00448.bmp 60.8113 66.6070 -14.1914
MIA_L0001/frame00449.bmp 59.9625 66.5125 -18.1904
MIA_L0001/frame00450.bmp 60.5422 66.4937 -15.0805
MIA_L0001/frame00451.bmp 60.3152 66.7212 -18.2420
MIA_L0001/frame00452.bmp 60.2873 66.7883 -18.8828
MIA_L0001/frame00453.bmp 60.9333 66.0727 -19.4592
MIA_L0001/frame00454.bmp 61.2410 66.0120 -19.0374
MIA_L0001/frame00455.bmp 60.0742 66.5020 -17.1090
MIA_L0001/frame00459.bmp 44.8559 69.9490 -1.4905
MIA_L0001/frame00460.bmp 45.0226 69.9055 -10.6908
MIA_L0001/frame00461.bmp 44.8013 70.0530 -5.5637
MIA_L0001/frame00462.bmp 44.5941 70.0127 -7.7907
MIA_L0001/frame00463.bmp 43.2467 70.3578 -2.1586
MIA_L0001/frame00464.bmp 43.7821 70.9089 -16.6092
MIA_L0001/frame00465.bmp 43.9486 70.7551 -7.0744
MIA_L0001/frame00466.bmp 45.2523 70.6689 -4.2702
MIA_L0001/frame00467.bmp 44.1706 70.8934 -8.8679
MIA_L0001/frame00468.bmp 43.6998 71.1790 -10.4717
MIA_L0001/frame00469.bmp 41.2767 71.1961 -9.0467
MIA_L0001/frame00470.bmp 44.5866 70.4990 -7.0857
MIA_L0001/frame00471.bmp 43.5499 70.8434 -4.9161
MIA_L0001/frame00472.bmp 43.2852 70.9844 -7.9907
MIA_L0001/frame00473.bmp 45.3636 70.4091 -4.4864
MIA_L0001/frame00474.bmp 44.4723 70.6915 -5.4191
MIA_L0001/frame00475.bmp 11.5000 74.5000 -0.0000
MIA_L0001/frame00476.bmp 43.6667 70.7394 -7.3496
MIA_L0001/frame00477.bmp 42.7343 71.5849 -11.3159
MIA_L0001/frame00481.bmp 58.1501 66.7229 -23.0229
